الاسم;الحجم
المقاهي;40
"مطاعم الوجبات السريعة";29
"مطاعم محلية - بوفيه";19
"البقالات المحلية";17
"المطاعم ذات الخدمات الشاملة";14
"محلات أجهزة التسخين والتكييف ومعدات السباكة";14
"محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة";11
"المطاعم والأنشطة الأخرى ذات الصلة";10
"الأسواق الصغيرة";10
"محلات الأطلية والزجاج وورق الحائط";9
"محلات بيع الخضروات والفواكه";9
"مطاعم المأكولات الشعبية";8
"محلات الموكيت والسجاد وبلاط الأرضيات";7
الصيدليات;7
"محلات المنتجات الكهربائية والمواد ذات الصلة";7
"السوبر ماركت";7
"المجمعات التجارية";6
"محلات أجهزة وبرامج الحاسب الآلي";5
"محلات بيع منتجات السباكة والتكييف بالجملة";5
المخابز;5
"أفران الخبز البلدي";5
"محطات البنزين";5
"محلات بيع الآلات غير الكهربائية بالجملة";4
"المشاغل النسائية";4
"محلات النظارات";3
"محلات الأثاث المنزلي";3
"محلات بيع اللحوم والأسماك والطيور الداجنة";3
"محلات الملابس الرجالية الجاهزة";3
"محلات الأثاث والتجهيزات المنزلية الأخرى";2
"محلات الكتب والقرطاسية واللوازم المكتبية";2
"محلات أطباق أجهزة الاستقبال الفضائي";2
"المتاجر المصنفة";2
"محلات الأجهزة المنزلية";2
"محلات العطارة والمحامص والمكسرات";2
"محلات الهواتف الجوالة";2
"محلات الأدوات الرياضية";2
"محلات اكسسوارات وزينة السيارات";2
"محلات بيع المنتجات الكهربائية بالجملة";1
"محلات بيع السلع الأخرى بالجملة";1
"محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة";1
"محلات الملابس الأخرى";1
"محلات الخزف الصيني والأواني المنزلية";1
"محلات الستائر وأغطية الأثاث";1
"محلات الآيس كريم";1
"محلات المعدات والآلات الموسيقية";1
"محلات بيع العود والعسل";1
"محلات لوازم السيارات";1
"محلات بيع غاز الطبخ";1
"محلات نباتات الزينة والزهور";1
"محلات العطور والبخور";1
"محلات الخياطة الرجالية";1
"محلات البيع بالتجزئة الأخرى";1
"محلات البشوت";0
"أنواع أخرى من تجارة الوقود";0
"محلات بيع المنتجات الزراعية الخام بالجملة";0
"محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة";0
"محلات بيع الملابس والبضائع الجافة بالجملة";0
"محلات الخشب المنشور والمواد الخشبية الأخرى";0
"محلات الساعات";0
"محلات الكاميرات ولوازم التصوير";0
"محلات بيع الزجاج بالتجزئة";0
"محلات بيع الأدوية والكيماويات بالجملة";0
"محلات النجارة والخردوات";0
"محلات قطع المفاتيح";0
"محلات الراديوهات والتلفزيونات";0
"محلات المعدات الزراعية";0
"محلات الأواني المنزلية البلاستيكية";0
"محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي";0
"محلات الآلات غير الكهربائية والمعدات ذات الصلة";0
"محلات بيع التحف والأشياء المستعملة";0
"محلات المعدات الزراعية ومعدات الحدائق";0
"مخازن المنوعات";0
"محلات المجوهرات الأخرى";0
"محلات كل شيء بـ 2، 5، 10 ريال";0
"محلات الشرائط والاسطوانات الصوتية";0
"محلات البضائع العامة الأخرى";0
"محلات تغليف الهدايا";0
"محلات بيع مستلزمات الخياطة";0
"محلات العبايات";0
"محلات البقالات الأخرى";0
"محلات النجارة";0
"محلات الحلويات والشوكولاتة";0
"محلات الأثاث والتجهيزات المكتبية";0
الطواحين;0
